MeanTemp,Description,Incidents,Level
9,ROBBERY - RESIDENCE,1,Low
9,SHOOTING,1,Low
10,ROBBERY - COMMERCIAL,1,Low
10,SHOOTING,1,Low
12,HOMICIDE,0.5,Low
12,RAPE,0.75,Low
12,ROBBERY - CARJACKING,1.5,Low
12,ROBBERY - COMMERCIAL,2,Low
12,ROBBERY - RESIDENCE,0.75,Low
12,SHOOTING,0.75,Low
13,ARSON,2,Low
13,HOMICIDE,1,Low
13,RAPE,3,Low
13,ROBBERY - CARJACKING,0.5,Low
13,ROBBERY - COMMERCIAL,1,Low
13,ROBBERY - RESIDENCE,1.5,Low
13,SHOOTING,1.5,Low
14,RAPE,0.5,Low
14,ROBBERY - COMMERCIAL,0.5,Low
14,ROBBERY - RESIDENCE,0.5,Low
15,ARSON,0.5,Low
15,HOMICIDE,1,Low
15,RAPE,0.5,Low
15,ROBBERY - CARJACKING,1,Low
15,ROBBERY - COMMERCIAL,1.5,Low
15,SHOOTING,0.5,Low
16,HOMICIDE,0.5,Low
16,ROBBERY - CARJACKING,1.5,Low
16,ROBBERY - COMMERCIAL,3.5,Low
16,ROBBERY - RESIDENCE,1.5,Low
16,SHOOTING,1,Low
17,HOMICIDE,0.75,Low
17,RAPE,1,Low
17,ROBBERY - CARJACKING,1.25,Low
17,ROBBERY - COMMERCIAL,2.5,Low
17,ROBBERY - RESIDENCE,0.75,Low
17,SHOOTING,0.5,Low
18,HOMICIDE,0.4,Low
18,RAPE,0.6,Low
18,ROBBERY - CARJACKING,1.6,Low
18,ROBBERY - COMMERCIAL,3.6,Low
18,ROBBERY - RESIDENCE,1,Low
18,SHOOTING,1.8,Low
19,ARSON,0.75,Low
19,HOMICIDE,0.5,Low
19,RAPE,0.25,Low
19,ROBBERY - CARJACKING,0.5,Low
19,ROBBERY - COMMERCIAL,3.75,Low
19,ROBBERY - RESIDENCE,0.75,Low
19,SHOOTING,1.25,Low
20,HOMICIDE,0.75,Low
20,RAPE,0.75,Low
20,ROBBERY - CARJACKING,2,Low
20,ROBBERY - COMMERCIAL,3.5,Low
20,ROBBERY - RESIDENCE,1.25,Low
20,SHOOTING,0.75,Low
21,ARSON,0.125,Low
21,HOMICIDE,0.5,Low
21,RAPE,1,Low
21,ROBBERY - CARJACKING,0.375,Low
21,ROBBERY - COMMERCIAL,2.125,Low
21,ROBBERY - RESIDENCE,0.375,Low
21,SHOOTING,0.125,Low
22,ARSON,0.5,Low
22,HOMICIDE,0.666666667,Low
22,RAPE,0.833333333,Low
22,ROBBERY - CARJACKING,0.166666667,Low
22,ROBBERY - COMMERCIAL,1.5,Low
