MeanTemp,Description,Incidents,Level
9,AGG. ASSAULT,10,High
9,AUTO THEFT,19,High
9,BURGLARY,15,High
9,COMMON ASSAULT,14,High
9,LARCENY,19,High
9,LARCENY FROM AUTO,9,High
9,ROBBERY - RESIDENCE,1,Low
9,ROBBERY - STREET,1,High
9,SHOOTING,1,Low
10,AGG. ASSAULT,3,High
10,AUTO THEFT,9,High
10,BURGLARY,12,High
10,COMMON ASSAULT,8,High
10,LARCENY,15,High
10,LARCENY FROM AUTO,9,High
10,ROBBERY - COMMERCIAL,1,Low
10,ROBBERY - STREET,4,High
10,SHOOTING,1,Low
12,AGG. ASSAULT,7,High
12,AUTO THEFT,13,High
12,BURGLARY,12,High
12,COMMON ASSAULT,16.75,High
12,HOMICIDE,0.5,Low
12,LARCENY,16.25,High
12,LARCENY FROM AUTO,7,High
12,RAPE,0.75,Low
12,ROBBERY - CARJACKING,1.5,Low
12,ROBBERY - COMMERCIAL,2,Low
12,ROBBERY - RESIDENCE,0.75,Low
12,ROBBERY - STREET,8.25,High
12,SHOOTING,0.75,Low
13,AGG. ASSAULT,5.5,High
13,ARSON,2,Low
13,AUTO THEFT,9,High
13,BURGLARY,14.5,High
13,COMMON ASSAULT,20,High
13,HOMICIDE,1,Low
13,LARCENY,23,High
13,LARCENY FROM AUTO,9,High
13,RAPE,3,Low
13,ROBBERY - CARJACKING,0.5,Low
13,ROBBERY - COMMERCIAL,1,Low
13,ROBBERY - RESIDENCE,1.5,Low
13,ROBBERY - STREET,6,High
13,SHOOTING,1.5,Low
14,AGG. ASSAULT,7.5,High
14,AUTO THEFT,7.5,High
14,BURGLARY,17.5,High
14,COMMON ASSAULT,16.5,High
14,LARCENY,18,High
14,LARCENY FROM AUTO,8.5,High
14,RAPE,0.5,Low
14,ROBBERY - COMMERCIAL,0.5,Low
14,ROBBERY - RESIDENCE,0.5,Low
14,ROBBERY - STREET,7,High
15,AGG. ASSAULT,7.5,High
15,ARSON,0.5,Low
15,AUTO THEFT,9,High
15,BURGLARY,6,High
15,COMMON ASSAULT,14.5,High
15,HOMICIDE,1,Low
15,LARCENY,18,High
15,LARCENY FROM AUTO,8,High
15,RAPE,0.5,Low
15,ROBBERY - CARJACKING,1,Low
15,ROBBERY - COMMERCIAL,1.5,Low
15,ROBBERY - STREET,4,High
15,SHOOTING,0.5,Low
16,AGG. ASSAULT,9,High
16,AUTO THEFT,16,High
16,BURGLARY,14.5,High
16,COMMON ASSAULT,15.5,High
16,HOMICIDE,0.5,Low
16,LARCENY,20,High
16,LARCENY FROM AUTO,7.5,High
16,ROBBERY - CARJACKING,1.5,Low
16,ROBBERY - COMMERCIAL,3.5,Low
16,ROBBERY - RESIDENCE,1.5,Low
16,ROBBERY - STREET,5.5,High
16,SHOOTING,1,Low
17,AGG. ASSAULT,8.5,High
17,AUTO THEFT,13.5,High
17,BURGLARY,8.5,High
17,COMMON ASSAULT,15.25,High
17,HOMICIDE,0.75,Low
17,LARCENY,22.75,High
17,LARCENY FROM AUTO,9.25,High
17,RAPE,1,Low
17,ROBBERY - CARJACKING,1.25,Low
17,ROBBERY - COMMERCIAL,2.5,Low
17,ROBBERY - RESIDENCE,0.75,Low
17,ROBBERY - STREET,6.5,High
17,SHOOTING,0.5,Low
18,AGG. ASSAULT,10.8,High
18,AUTO THEFT,11.6,High
18,BURGLARY,18.6,High
18,COMMON ASSAULT,12.6,High
18,HOMICIDE,0.4,Low
18,LARCENY,21.4,High
18,LARCENY FROM AUTO,9.6,High
18,RAPE,0.6,Low
18,ROBBERY - CARJACKING,1.6,Low
18,ROBBERY - COMMERCIAL,3.6,Low
18,ROBBERY - RESIDENCE,1,Low
18,ROBBERY - STREET,6.8,High
18,SHOOTING,1.8,Low
19,AGG. ASSAULT,8.25,High
19,ARSON,0.75,Low
19,AUTO THEFT,11.25,High
19,BURGLARY,12.75,High
19,COMMON ASSAULT,15.25,High
19,HOMICIDE,0.5,Low
19,LARCENY,25.25,High
19,LARCENY FROM AUTO,9.75,High
19,RAPE,0.25,Low
19,ROBBERY - CARJACKING,0.5,Low
19,ROBBERY - COMMERCIAL,3.75,Low
19,ROBBERY - RESIDENCE,0.75,Low
19,ROBBERY - STREET,5.75,High
19,SHOOTING,1.25,Low
20,AGG. ASSAULT,15.25,High
20,AUTO THEFT,13.75,High
20,BURGLARY,11.5,High
20,COMMON ASSAULT,16,High
20,HOMICIDE,0.75,Low
20,LARCENY,22.25,High
20,LARCENY FROM AUTO,14.75,High
20,RAPE,0.75,Low
20,ROBBERY - CARJACKING,2,Low
20,ROBBERY - COMMERCIAL,3.5,Low
20,ROBBERY - RESIDENCE,1.25,Low
20,ROBBERY - STREET,10.5,High
20,SHOOTING,0.75,Low
21,AGG. ASSAULT,8.625,High
21,ARSON,0.125,Low
21,AUTO THEFT,12.75,High
21,BURGLARY,14.875,High
21,COMMON ASSAULT,16.875,High
21,HOMICIDE,0.5,Low
21,LARCENY,21.875,High
21,LARCENY FROM AUTO,9.375,High
21,RAPE,1,Low
21,ROBBERY - CARJACKING,0.375,Low
21,ROBBERY - COMMERCIAL,2.125,Low
21,ROBBERY - RESIDENCE,0.375,Low
21,ROBBERY - STREET,5.25,High
21,SHOOTING,0.125,Low
22,AGG. ASSAULT,9.5,High
22,ARSON,0.5,Low
22,AUTO THEFT,9.666666667,High
22,BURGLARY,12.33333333,High
22,COMMON ASSAULT,17.33333333,High
22,HOMICIDE,0.666666667,Low
22,LARCENY,19.66666667,High
