MeanTemp,Description,Incidents,Level
9,AGG. ASSAULT,10,High
9,AAUTO THEFT,19,High
9,BURGLARY,15,High
9,COMMON ASSAULT,14,High
9,LARCENY,19,High
9,LARCENY FROM AUTO,9,High
9,ROBBERY - STREET,1,High
10,AGG. ASSAULT,3,High
10,AAUTO THEFT,9,High
10,BURGLARY,12,High
10,COMMON ASSAULT,8,High
10,LARCENY,15,High
10,LARCENY FROM AUTO,9,High
10,ROBBERY - STREET,4,High
12,AGG. ASSAULT,7,High
12,AAUTO THEFT,13,High
12,BURGLARY,12,High
12,COMMON ASSAULT,16.75,High
12,LARCENY,16.25,High
12,LARCENY FROM AUTO,7,High
12,ROBBERY - STREET,8.25,High
13,AGG. ASSAULT,5.5,High
13,AAUTO THEFT,9,High
13,BURGLARY,14.5,High
13,COMMON ASSAULT,20,High
13,LARCENY,23,High
13,LARCENY FROM AUTO,9,High
13,ROBBERY - STREET,6,High
14,AGG. ASSAULT,7.5,High
14,AAUTO THEFT,7.5,High
14,BURGLARY,17.5,High
14,COMMON ASSAULT,16.5,High
14,LARCENY,18,High
14,LARCENY FROM AUTO,8.5,High
14,ROBBERY - STREET,7,High
15,AGG. ASSAULT,7.5,High
15,AAUTO THEFT,9,High
15,BURGLARY,6,High
15,COMMON ASSAULT,14.5,High
15,LARCENY,18,High
15,LARCENY FROM AUTO,8,High
15,ROBBERY - STREET,4,High
16,AGG. ASSAULT,9,High
16,AAUTO THEFT,16,High
16,BURGLARY,14.5,High
16,COMMON ASSAULT,15.5,High
16,LARCENY,20,High
16,LARCENY FROM AUTO,7.5,High
16,ROBBERY - STREET,5.5,High
17,AGG. ASSAULT,8.5,High
17,AAUTO THEFT,13.5,High
17,BURGLARY,8.5,High
17,COMMON ASSAULT,15.25,High
17,LARCENY,22.75,High
17,LARCENY FROM AUTO,9.25,High
17,ROBBERY - STREET,6.5,High
18,AGG. ASSAULT,10.8,High
18,AAUTO THEFT,11.6,High
18,BURGLARY,18.6,High
18,COMMON ASSAULT,12.6,High
18,LARCENY,21.4,High
18,LARCENY FROM AUTO,9.6,High
18,ROBBERY - STREET,6.8,High
19,AGG. ASSAULT,8.25,High
19,AAUTO THEFT,11.25,High
19,BURGLARY,12.75,High
19,COMMON ASSAULT,15.25,High
19,LARCENY,25.25,High
19,LARCENY FROM AUTO,9.75,High
19,ROBBERY - STREET,5.75,High
20,AGG. ASSAULT,15.25,High
20,AAUTO THEFT,13.75,High
20,BURGLARY,11.5,High
20,COMMON ASSAULT,16,High
20,LARCENY,22.25,High
20,LARCENY FROM AUTO,14.75,High
20,ROBBERY - STREET,10.5,High
21,AGG. ASSAULT,8.625,High
21,AAUTO THEFT,12.75,High
21,BURGLARY,14.875,High
21,COMMON ASSAULT,16.875,High
21,LARCENY,21.875,High
21,LARCENY FROM AUTO,9.375,High
21,ROBBERY - STREET,5.25,High
22,AGG. ASSAULT,9.5,High
22,AAUTO THEFT,9.666666667,High
22,BURGLARY,12.33333333,High
